compound,grouping,MW,formula,CAS,C,H,O,N,n_Benz,Cl,S,F,Si,Br,I,Combust,MRF
Methane,1.0,16.04206,CH4,,1,4,0,0,0,0,0,,,,,203.0,0.103
Ethane/Ethylene,1.5,28.05,C2H4,,2,4,0,0,0,0,0,,,,,306.0,0.191
Ethylene,1.5,28.05,C2H4,,2,4,0,0,0,0,0,,,,,306.0,0.191
Cyclopropene,1.5,40.06346,C3H4,,3,4,0,0,0,0,0,,,,,410.0,0.28
Propyne,1.5,40.0639,C3H4,,3,4,0,0,0,0,0,,,,,410.0,0.28
cyclopropane,1.1,42.079,C3H6,,3,6,0,0,0,0,0,,,,,453.0,0.318
Propane/Propylene,1.5,42.08,C3H6,,3,6,0,0,0,0,0,,,,,453.0,0.318
Propylene,1.5,42.08,C3H6,,3,6,0,0,0,0,0,,,,,453.0,0.318
Cyclobutene,1.5,54.08984,C4H6,,4,6,0,0,0,0,0,,,,,557.0,0.406
1-Butyne,1.5,54.09,C4H6,,4,6,0,0,0,0,0,,,,,557.0,0.406
2-Butyne,1.5,54.0904,C4H6,,4,6,0,0,0,0,0,,,,,557.0,0.406
Methylenecyclopropane,1.1,54.0904,C4H6,,4,6,0,0,0,0,0,,,,,557.0,0.406
"1,3-Butadiene",1.5,54.091,C4H6,,4,6,0,0,0,0,0,,,,,557.0,0.406
Cyclobutane,1.1,56.10552,C4H8,,4,8,0,0,0,0,0,,,,,601.0,0.444
Isobutene,1.5,56.106,C4H8,,4,8,0,0,0,0,0,,,,,601.0,0.444
"1-Propene, 2-methyl-",1.55,56.11,C4H8,,4,8,0,0,0,0,0,,,,,601.0,0.444
2-Butene,1.5,56.1063,C4H8,,4,8,0,0,0,0,0,,,,,601.0,0.444
1-Butene,1.5,56.11,C4H8,,4,8,0,0,0,0,0,,,,,601.0,0.444
n-butane,1.0,58.1212,C4H10,,4,10,0,0,0,0,0,,,,,644.0,0.481
Butane,1.0,58.12,C4H10,,4,10,0,0,0,0,0,,,,,644.0,0.481
Isobutane,0.9,58.122,C4H10,,4,10,0,0,0,0,0,,,,,644.0,0.481
isobutane IS,1.0,58.1222,C4H10,,4,10,0,0,0,0,0,,,,,644.0,0.481
3-Penten-1-yne,1.5,66.101,C5H6,,5,6,0,0,0,0,0,,,,,661.0,0.495
"1,3-Cyclopentadiene",1.1,66.1,C5H6,,5,6,0,0,0,0,0,,,,,661.0,0.495
"3-Penten-1-yne, (E)-",1.5,66.1011,C5H6,,5,6,0,0,0,0,0,,,,,661.0,0.495
Cyclopentadiene,1.1,66.1011,C5H6,,5,6,0,0,0,0,0,,,,,661.0,0.495
"1,3-Pentadiene, (Z)-",1.5,68.11622,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
"Cyclopropane, ethylidene",1.5,68.11622,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
"Cyclopropane, ethylidene-",1.1,68.11622,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
Isoprene,1.5,68.11622,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
"1,2-Pentadiene",1.7,68.117,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
cyclopentene,1.1,68.12,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
"1,3-Pentadiene",1.5,68.12,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
"1,4-Pentadiene",1.7,68.12,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
Bicyclopentane,1.1,68.12,C5H8,,5,8,0,0,0,0,0,,,,,704.0,0.533
